it nTrial nWin nCatch RMSerror.start RMSerror.antic RMSerror.win RMSerror.nowin GLT.w-n GLT.a-w GLT.a-n GLT.a-w-n r.win r.nowin
56 36 9 5 0.34450 0.28810 0.41120 0.36170 0.26220 0.46500 0.42970 0.74090 -0.022 -0.048
57 36 9 5 0.36160 0.27960 0.41280 0.36260 0.25380 0.54130 0.49510 0.83510 0.034 -0.024
58 36 9 5 0.32550 0.27260 0.38450 0.33980 0.27470 0.50110 0.45890 0.75850 -0.049 0.047
59 36 9 5 0.32190 0.27600 0.40220 0.34670 0.28560 0.48790 0.43810 0.74440 0.002 -0.049
60 36 9 5 0.36990 0.27290 0.44230 0.40330 0.26120 0.52340 0.49310 0.85600 0.003 -0.078
61 36 9 5 0.34760 0.28670 0.40070 0.34720 0.25500 0.45910 0.42750 0.72630 -0.071 -0.010
62 36 9 5 0.36310 0.28080 0.41930 0.38100 0.26710 0.50030 0.45710 0.79380 -0.011 -0.063
63 36 9 5 0.36340 0.27950 0.41200 0.34810 0.27390 0.50230 0.44550 0.76720 0.029 -0.054
64 36 9 5 0.38150 0.27820 0.45630 0.36380 0.27990 0.54580 0.47750 0.84300 -0.036 0.030
65 36 9 5 0.33800 0.27960 0.41560 0.39260 0.27670 0.46640 0.43120 0.75870 -0.020 -0.061
66 36 9 5 0.34170 0.28140 0.40200 0.36340 0.28970 0.48800 0.45240 0.75720 -0.083 0.004
67 36 9 5 0.38950 0.27990 0.42710 0.42690 0.28710 0.49440 0.49230 0.83110 0.060 -0.068
68 36 9 5 0.33800 0.28330 0.38640 0.35290 0.27970 0.51650 0.48090 0.78320 -0.013 0.043
69 36 9 5 0.34270 0.28390 0.43790 0.35870 0.26600 0.50960 0.44420 0.79130 -0.105 0.060
70 36 9 5 0.31410 0.28360 0.39550 0.35400 0.25670 0.44300 0.40830 0.70600 -0.035 -0.086
71 36 9 5 0.33380 0.28100 0.43490 0.35170 0.30030 0.48430 0.43210 0.75170 0.013 -0.037
72 36 9 5 0.35930 0.28100 0.42140 0.36690 0.31550 0.52990 0.48680 0.80710 -0.007 0.089
73 36 9 5 0.38350 0.28500 0.43540 0.40290 0.27340 0.49540 0.47310 0.81550 0.016 -0.061
74 36 9 5 0.33340 0.27320 0.42950 0.33860 0.28050 0.50760 0.44630 0.77630 -0.050 0.092
75 36 9 5 0.32090 0.27050 0.39520 0.35600 0.27990 0.48300 0.43460 0.74410 0.021 -0.095
76 36 9 5 0.34500 0.28130 0.39370 0.35400 0.25630 0.46710 0.42860 0.73310 -0.018 -0.036
77 36 9 5 0.38640 0.27100 0.46070 0.40420 0.29800 0.54220 0.50300 0.87200 -0.008 -0.017
78 36 9 5 0.33880 0.28640 0.41700 0.39010 0.26170 0.47890 0.45060 0.77970 0.014 -0.097
79 36 9 5 0.33670 0.27990 0.42210 0.35230 0.25870 0.49150 0.44220 0.77080 -0.054 0.017
80 36 9 5 0.36620 0.29150 0.44250 0.38920 0.27070 0.48520 0.43860 0.78550 -0.017 -0.023
81 36 9 5 0.31520 0.26950 0.41200 0.36140 0.27180 0.48970 0.45190 0.77320 -0.005 -0.047
82 36 9 5 0.35640 0.27300 0.40080 0.38380 0.28160 0.50000 0.48200 0.79780 0.037 -0.029
83 36 9 5 0.34850 0.28310 0.40720 0.34730 0.25880 0.48710 0.44220 0.75640 -0.044 0.010
84 36 9 5 0.36250 0.27580 0.43700 0.36820 0.28820 0.51210 0.46830 0.80560 0.023 -0.069
85 36 9 5 0.31670 0.29560 0.40070 0.31110 0.27630 0.44140 0.37870 0.65720 -0.047 -0.040
