iteration nWin nCatch sum contrast
w54_c10_0001 54 10 0.43870 0.67350
w54_c10_0002 54 10 0.45560 0.71640
w54_c10_0003 54 10 0.44820 0.70550
w54_c10_0004 54 10 0.47180 0.78130
w54_c10_0005 54 10 0.45770 0.72670
w54_c10_0006 54 10 0.45480 0.73860
w54_c10_0007 54 10 0.45420 0.73370
w54_c10_0008 54 10 0.44170 0.68770
w54_c10_0009 54 10 0.45180 0.72060
w54_c10_0010 54 10 0.44440 0.70650
w54_c10_0011 54 10 0.44900 0.72170
w54_c10_0012 54 10 0.45030 0.71650
w54_c10_0013 54 10 0.45050 0.71180
w54_c10_0014 54 10 0.44190 0.70060
w54_c10_0015 54 10 0.45650 0.72540
w54_c10_0016 54 10 0.44790 0.71410
w54_c10_0017 54 10 0.43650 0.68980
w54_c10_0018 54 10 0.45320 0.70350
w54_c10_0019 54 10 0.44480 0.69240
w54_c10_0020 54 10 0.44420 0.71220
w54_c10_0021 54 10 0.45690 0.74640
w54_c10_0022 54 10 0.44310 0.69260
w54_c10_0023 54 10 0.45340 0.72770
w54_c10_0024 54 10 0.44350 0.70170
w54_c10_0025 54 10 0.45490 0.74100
w54_c10_0026 54 10 0.45040 0.72290
w54_c10_0027 54 10 0.44620 0.71930
w54_c10_0028 54 10 0.44720 0.71020
w54_c10_0029 54 10 0.45420 0.72710
w54_c10_0030 54 10 0.44740 0.70410
w54_c10_0031 54 10 0.44730 0.68750
w54_c10_0032 54 10 0.45540 0.72810
w54_c10_0033 54 10 0.45540 0.75360
w54_c10_0034 54 10 0.45050 0.72470
w54_c10_0035 54 10 0.44990 0.72010
w54_c10_0036 54 10 0.44840 0.70530
w54_c10_0037 54 10 0.44770 0.72010
w54_c10_0038 54 10 0.44790 0.70820
w54_c10_0039 54 10 0.44290 0.67470
w54_c10_0040 54 10 0.44650 0.71210
w54_c10_0041 54 10 0.44120 0.68590
w54_c10_0042 54 10 0.45880 0.74190
w54_c10_0043 54 10 0.44930 0.69620
w54_c10_0044 54 10 0.45240 0.72190
w54_c10_0045 54 10 0.44010 0.70970
w54_c10_0046 54 10 0.45080 0.70890
w54_c10_0047 54 10 0.44690 0.70750
w54_c10_0048 54 10 0.44540 0.69950
w54_c10_0049 54 10 0.44180 0.70060
w54_c10_0050 54 10 0.45030 0.69810
w54_c15_0001 54 15 0.43950 0.67390
w54_c15_0002 54 15 0.45510 0.72930
w54_c15_0003 54 15 0.45130 0.72300
w54_c15_0004 54 15 0.44560 0.71720
w54_c15_0005 54 15 0.44780 0.71900
w54_c15_0006 54 15 0.45430 0.71800
w54_c15_0007 54 15 0.44910 0.70970
w54_c15_0008 54 15 0.44900 0.72020
w54_c15_0009 54 15 0.44920 0.71940
w54_c15_0010 54 15 0.44000 0.69100
w54_c15_0011 54 15 0.43840 0.67950
w54_c15_0012 54 15 0.44440 0.72830
w54_c15_0013 54 15 0.44720 0.68360
w54_c15_0014 54 15 0.45230 0.72500
w54_c15_0015 54 15 0.45890 0.74540
w54_c15_0016 54 15 0.43200 0.67680
w54_c15_0017 54 15 0.43800 0.69060
w54_c15_0018 54 15 0.43980 0.69320
w54_c15_0019 54 15 0.44720 0.70800
w54_c15_0020 54 15 0.45430 0.73100
